schoolid_cps,schoolname_cps,fullname_cps,schoolname2_cps,isbe_name_cps,street_number_cps,street_direction_cps,street_name_cps,city_cps,state_cps,zip_cps,cps_unit_cps,oracleid_cps,school_category_cps,community_area_number_cps,community_area_cps,geographicarea_cps,geographic_area_number_cps,cook_county_district_cps,census_block_cps,latitude_cps,longitude_cps,ncessch_num_cps,ncessch_cps,census_tract_cps
400113,Chicago Quest North,Chicago Intl Charter - Chicago Quest North,Chicago Quest North,Chicago International Charter,1443,N,Ogden Ave,Chicago,IL,60610,8672.0,66651,HS,8.0,Near North Side,Lincoln Park,29.0,2.0,170318422001040,41.9078097084,-87.6455939143999,,_,17031842200
400146,Kipp Create,KIPP Charter Create,Kipp Create,KIPP Charter Create School,4837,W,Erie St,Chicago,IL,60644,9605.0,66031,ES,25.0,Austin,Austin,25.0,1.0,170312517001041,41.8922020003999,-87.7472156802,,_,17031251700
609872,Perez,Manuel Perez Elementary School,Perez,Perez Elem School,1241,W,19th St,Chicago,IL,60608,2930.0,22861,ES,31.0,Lower West Side,Pilsen - Little Village,16.0,7.0,170313106003002,41.845603033,-87.7311561742999,170993005410,_170993005410,17031310600
609807,Hampton,Lionel Hampton Fine & Performing Arts ES,Hampton,Hampton Elem Fine & Perf Arts Sch,3434,W,77th St,Chicago,IL,60652,2350.0,32021,ES,70.0,Ashburn,Ashburn,6.0,11.0,170317001001011,41.7493387502,-87.6694022909999,170993003995,_170993003995,17031700100
610135,Portage Park,Portage Park Elementary School,Portage Park,Portage Park Elem School,5330,W,Berteau Ave,Chicago,IL,60641,5490.0,25011,ES,15.0,Portage Park,Albany Irving,27.0,12.0,170311503003009,41.7026305459,-87.6063825628999,170993001039,_170993001039,17031150300
400026,Cics - Loomis,Chicago Intl Charter - Loomis Primary,Cics - Loomis,Chicago International Charter,9535,S,Loomis St,Chicago,IL,60643,4914.0,66075,ES,73.0,Washington Heights,Auburn Gresham,5.0,4.0,170317304002001,41.7202458541,-87.6575976791999,170993003505,_170993003505,17031730400
400041,Galapagos Chtr Campus,Galapagos Elementary Charter School,Galapagos Chtr Campus,Galapagos Elem Charter School,3814,W,Iowa St,Chicago,IL,60651,5840.0,66341,ES,23.0,Humboldt Park,Garfield - West Humboldt,20.0,1.0,170312312003002,41.8972855852999,-87.7219585897999,170993005798,_170993005798,17031231200
400151,Learn Chtr - 7,Learn Charter 7 ES,Learn Chtr - 7,,3021,W,Caroll Ave,Chicago,IL,60612,9608.0,,ES,27.0,East Garfield Park,Garfield - West Humboldt,20.0,1.0,170318371001003,41.8875163594999,-87.702165851,,_,17031837100
610573,Camelot - Safe School Program HS,Camelot Safe Academy High School,Camelot - Safe School Program HS,,,,,Chicago,IL,"Ave. Chicago, IL 60649",9638.0,,HS,46.0,South Chicago,South Shore,11.0,4.0,170314601001007,42.0171710911999,-87.8066449739999,,_,17031460100
610530,Southshore,South Shore Fine Arts Academy,Southshore,South Shore Fine Arts Elem Sch,1415,E,70th St,Chicago,IL,60637,2015.0,22251,ES,43.0,South Shore,South Shore,11.0,3.0,170314303003009,41.9357940433,-87.6805987585999,,_,17031430300
610523,Edison Park,Edison Park Elementary School,Edison Park,Edison Park Elem School,6220,N,Olcott Ave,Chicago,IL,60631,2085.0,28081,ES,10.0,Norwood Park,Sauganash,28.0,9.0,170311003005026,41.9029149767,-87.6736593053999,170993099991,_170993099991,17031100300
610172,Sherman,William T Sherman Elementary School,Sherman,Sherman Elem School,1000,W,52nd St,Chicago,IL,60609,5890.0,25341,ES,61.0,New City,Englewood,4.0,2.0,170316120002000,41.8110694495,-87.7041619277,170993001085,_170993001085,17031612000
400061,Perspectives Chtr - Leadership Academy,Perspectives Charter Leadership Academy HS,Perspectives Chtr - Leadership Academy,Perspectives Charter High School,8131,S,May St,Chicago,IL,60620,1961.0,66052,HS,71.0,Auburn Gresham,Auburn Gresham,5.0,4.0,170317108006008,41.7459346286999,-87.6523281373,170993003450,_170993003450,17031710800
609977,Woodlawn,Woodlawn Community Elementary School,Woodlawn,Woodlawn Elem Community School,6657,S,Kimbark Ave,Chicago,IL,60637,3860.0,23631,ES,42.0,Woodlawn,Woodlawn,13.0,3.0,170318344002014,41.8991718943999,-87.7557765292,170993001615,_170993001615,17031834400
610159,Scammon,Jonathan Y Scammon Elementary School,Scammon,Scammon Elem School,4201,W,Henderson St,Chicago,IL,60641,5730.0,25241,ES,16.0,Irving Park,Albany Irving,27.0,12.0,170311613003002,41.7974987802,-87.7049691168,170993001073,_170993001073,17031161300
610315,White,Edward White Elementary Career Academy,White,White Elem Career Academy,1136,W,122nd St,Chicago,IL,60643,7440.0,26431,ES,53.0,West Pullman,Far South Side,22.0,5.0,170315304001014,41.7331597507999,-87.5895902041999,170993000801,_170993000801,17031530400
610281,Powell,Adam Clayton Powell Paideia Community Academy ES,Powell,Powell Elem Paideia Comm Academy,7511,S,South Shore Dr,Chicago,IL,60649,7010.0,26291,ES,43.0,South Shore,South Shore,11.0,4.0,170314314002001,41.8143577578999,-87.6166546200999,170993001213,_170993001213,17031431400
400077,Univ Of Chgo Chtr - Woodlawn,University of Chicago Charter - Woodlawn,Univ Of Chgo Chtr - Woodlawn,Univ of Chicago Elem Charter Schl,6420,S,University Ave,Chicago,IL,60637,3061.0,66112,HS,42.0,Woodlawn,Woodlawn,13.0,3.0,170318344001008,41.7781185053,-87.5980804463,170993003542,_170993003542,17031834400
609978,Smith,Wendell Smith Elementary School,Smith,Smith  W Elem School,744,E,103rd St,Chicago,IL,60628,3870.0,23641,ES,50.0,Pullman,Far South Side,22.0,4.0,170315001004030,41.9945134479999,-87.6685032710999,170993000928,_170993000928,17031500100
609967,Finkl,William F Finkl Elementary School,Finkl,Finkl Elem School,2332,S,Western Ave,Chicago,IL,60608,3760.0,23541,ES,31.0,Lower West Side,Pilsen - Little Village,16.0,2.0,170318413002002,41.8072410102999,-87.6612113302,170993001351,_170993001351,17031841300
