oracle_id,school_name,FY 2017 Ending Budget
25761,Joseph Warren Elementary School,2687705
24231,Josephine C Locke School,11485691
69375,Josephinum High School,74672
23991,Joshua D Kershaw Elementary School,3110100
24961,Josiah L Pickard School,4786614
24021,Joyce Kilmer School,7783296
26041,Julia C Lathrop School,2600
23851,Julia Ward Howe School,4166740
66261,KIPP Ascend Charter School,9338663
66932,KIPP Ascend Primary Charter,11821
66032,KIPP One Academy,1880131
66931,KIPP-Bloom,3091628
46371,KIng Selective Enrollment HS,7185948
23971,Kate S Kellogg School,2765112
46191,Kelvyn Park High School,6340474
46361,Kenwood Academy,14429178
63041,Kwame Nkrumah Academy,2389631
66566,LEARN - New Elementary Charter School,3688925
66567,LEARN - New Middle Charter School,3128516
66562,LEARN Charter ES - Charles and Dorothy Campbell,4607018
66211,LEARN Charter School,6119721
66561,LEARN Charter School - Excel Campus,4679798
66564,LEARN Charter School - Hunter Perkins,4941517
70241,LR - Alcott HS,4956
10910,LSC Relations,1575197
29101,LaSalle Language Magnet,6299573
46211,Lake View High School,12478124
26641,Langston Hughes School,500
11510,Language & Cultural Education,1648685
11540,Language & Cultural Education - City Wide,6916822
29161,Lasalle Language Academy School,5044245
23151,Laughlin Falconer School,9451810
24991,Laura S Ward School,4841037
25671,Lavizzo Elementray,3514617
10210,Law Office,12724135
31161,Lawndale Community Academy School,3034214
69048,Lawrence Hall Youth Services,144556
24051,Lazaro Cardenas School,5362478
66563,Learn Charter School - South Chicago Campus,4704999
67071,Legacy Charter School,4593889
66641,Legal Prep Charter Academy,3963305
29051,Leif Ericson Scholastic Academy,4236216
69377,Leo High School,85051
24151,Leslie Lewis School,4043429
22181,Lillian R. Nicholson STEM Academy,5236605
46321,Lincoln Park High School,17286653
46511,Lindblom Math and Science Academy High School,11225332
32021,Lionel Hampton Fine and Performing Arts School,5319513
13700,Literacy,1941302
13705,Literacy - City Wide,1304331
63161,Little Black Pearl,1737526
22521,Little Village Academy,6798090
49121,Little Village Multiplex,-227851
41091,Logandale Middle School,6803908
25221,Louis Armstrong Mathematics & Science Specialty School,250
22031,Louis J Agassiz School,5054625
24661,Louis Nettelhorst School,6843126
